term	power	df	sumsq	meansq	statistic	p.value	etasq	partial.etasq	omegasq	partial.omegasq	cohens.f	condition	trait	strain1	strain2
Strain	0.81	1	1.449	1.449	8.051	0.007	0.175	0.175	0.15	0.15	0.46	arsenic2	PC2	CB4856	N2
Strain	0.162	1	0.301	0.301	0.934	0.34	0.025	0.025	-0.002	-0.002	0.161	arsenic2	PC2	DL238	JU775
Strain	0.154	1	0.161	0.161	0.873	0.356	0.024	0.024	-0.003	-0.003	0.156	arsenic2	PC2	DL238	N2
Strain	0.06	1	0.023	0.023	0.083	0.774	0.002	0.002	-0.023	-0.023	0.047	arsenic2	PC2	JU775	N2
Strain	0.806	3	2.755	0.918	3.688	0.016	0.13	0.13	0.094	0.094	0.387	arsenic2	PC2	ALL	ALL
Strain	0.982	1	12.363	12.363	16.487	0	0.303	0.303	0.279	0.279	0.659	arsenic3	PC2	CB4856	DL238
Strain	0.999	1	15.511	15.511	25.428	0	0.401	0.401	0.379	0.379	0.818	arsenic3	PC2	CB4856	JU775
Strain	0.825	1	3.526	3.526	8.377	0.006	0.181	0.181	0.156	0.156	0.47	arsenic3	PC2	CB4856	N2
Strain	0.083	1	0.178	0.178	0.282	0.598	0.007	0.007	-0.018	-0.018	0.086	arsenic3	PC2	DL238	JU775
Strain	0.693	1	2.684	2.684	6.069	0.018	0.138	0.138	0.112	0.112	0.4	arsenic3	PC2	DL238	N2
Strain	0.963	1	4.246	4.246	14.041	0.001	0.27	0.27	0.246	0.246	0.608	arsenic3	PC2	JU775	N2
Strain	1	3	19.254	6.418	12.198	0	0.325	0.325	0.296	0.296	0.694	arsenic3	PC2	ALL	ALL
Strain	0.988	1	30.506	30.506	17.851	0	0.338	0.338	0.313	0.313	0.714	arsenic4	PC2	CB4856	DL238
Strain	0.895	1	12.26	12.26	10.326	0.003	0.228	0.228	0.201	0.201	0.543	arsenic4	PC2	CB4856	JU775
Strain	0.783	1	11.827	11.827	7.531	0.01	0.177	0.177	0.15	0.15	0.464	arsenic4	PC2	CB4856	N2
Strain	0.301	1	3.781	3.781	2.067	0.16	0.061	0.061	0.03	0.03	0.254	arsenic4	PC2	DL238	JU775
Strain	0.267	1	4.018	4.018	1.787	0.191	0.053	0.053	0.023	0.023	0.236	arsenic4	PC2	DL238	N2
