Condition	Strain	Trait	Value
arsenictrioxide	QX406	norm.n	-1.09504528352555
arsenictrioxide	QX446	norm.n	-22.6569691626765
arsenictrioxide	QX332	norm.n	-30.7713214211168
arsenictrioxide	QX254	norm.n	-47.1660888825723
arsenictrioxide	QX480	mean.norm.EXT	0.208501467918984
arsenictrioxide	QX438	mean.norm.EXT	-0.282890597537896
arsenictrioxide	QX515	mean.norm.EXT	-0.1382613527661
arsenictrioxide	QX528	mean.norm.EXT	0.30725871861452
arsenictrioxide	QX484	mean.norm.EXT	0.116879452981022
arsenictrioxide	QX597	mean.norm.EXT	0.0971953652606769
arsenictrioxide	QX480	mean.norm.yellow	0.203575324584326
arsenictrioxide	QX438	mean.norm.yellow	-0.123252763786085
arsenictrioxide	QX515	mean.norm.yellow	-0.11437061881411
arsenictrioxide	QX528	mean.norm.yellow	0.0942460710443236
arsenictrioxide	QX484	mean.norm.yellow	0.0845254388292747
arsenictrioxide	QX597	mean.norm.yellow	0.065679021584029
arsenictrioxide	QX480	mean.TOF	14.3655249418195
arsenictrioxide	QX438	mean.TOF	-11.8830608337572
arsenictrioxide	QX515	mean.TOF	-12.5717482400939
arsenictrioxide	QX528	mean.TOF	4.9507323638222
arsenictrioxide	QX484	mean.TOF	17.7347067296194
arsenictrioxide	QX597	mean.TOF	32.7112229012945
arsenictrioxide	QX480	norm.n	4.18178950613272
arsenictrioxide	QX438	norm.n	-4.5953291074589
arsenictrioxide	QX515	norm.n	-2.21209218467348
arsenictrioxide	QX528	norm.n	23.2447104986744
arsenictrioxide	QX484	norm.n	40.7775574743465
arsenictrioxide	QX597	norm.n	-7.33176216547224
arsenictrioxide	QX476	mean.norm.EXT	0.0552509792426954
arsenictrioxide	QX496	mean.norm.EXT	0.0923102629046783
arsenictrioxide	QX337	mean.norm.EXT	-0.0120515272327328
arsenictrioxide	QX431	mean.norm.EXT	0.0898612341025761
arsenictrioxide	QX452	mean.norm.EXT	0.27125467010739
arsenictrioxide	QX459	mean.norm.EXT	-0.0877163464283507
arsenictrioxide	QX476	mean.norm.yellow	0.0314396521439771
arsenictrioxide	QX496	mean.norm.yellow	0.0812441075268516
arsenictrioxide	QX337	mean.norm.yellow	0.0261636149768657
arsenictrioxide	QX431	mean.norm.yellow	0.115864811651287
arsenictrioxide	QX452	mean.norm.yellow	0.126944273804404
arsenictrioxide	QX459	mean.norm.yellow	0.00989859750652342
arsenictrioxide	QX476	mean.TOF	-4.15650332589322
arsenictrioxide	QX496	mean.TOF	-19.4084163172125
arsenictrioxide	QX337	mean.TOF	-2.17881397687889
arsenictrioxide	QX431	mean.TOF	18.6543439560154
arsenictrioxide	QX452	mean.TOF	25.2045268691581
arsenictrioxide	QX459	mean.TOF	12.2831595558915
arsenictrioxide	QX476	norm.n	18.15971224711
arsenictrioxide	QX496	norm.n	21.0175353428996
arsenictrioxide	QX337	norm.n	-5.3286340583989
arsenictrioxide	QX431	norm.n	27.1378652417365
arsenictrioxide	QX452	norm.n	29.5214807362065
arsenictrioxide	QX459	norm.n	15.2937558315231
arsenictrioxide	QX397	mean.norm.EXT	0.139198123966087
arsenictrioxide	QX375	mean.norm.EXT	-0.247227714269828
arsenictrioxide	QX554	mean.norm.EXT	-0.259491329512205
arsenictrioxide	QX559	mean.norm.EXT	0.24112694642305
arsenictrioxide	QX348	mean.norm.EXT	-0.216097169562009
arsenictrioxide	QX397	mean.norm.yellow	0.00936836274807266
arsenictrioxide	QX375	mean.norm.yellow	-0.0838094218216239
arsenictrioxide	QX554	mean.norm.yellow	-0.163981209812927
arsenictrioxide	QX559	mean.norm.yellow	0.00720723427516735
arsenictrioxide	QX348	mean.norm.yellow	-0.0689594446688317
arsenictrioxide	QX397	mean.TOF	7.63310264937449
arsenictrioxide	QX375	mean.TOF	-7.02405063737302
arsenictrioxide	QX554	mean.TOF	-21.057137364422
arsenictrioxide	QX559	mean.TOF	18.367894355422
arsenictrioxide	QX348	mean.TOF	-23.4887398026972
arsenictrioxide	QX397	norm.n	-7.38655172174074
