trait	strain	value	trait_input
mean.TOF	JU406	-24.7329651320526	EXT_BROOD_TOF
mean.TOF	JU440	6.69700041425026	EXT_BROOD_TOF
mean.TOF	JU561	13.6618991225672	EXT_BROOD_TOF
mean.TOF	JU642	-1.72206016305156	EXT_BROOD_TOF
mean.TOF	JU751	-11.812161564727	EXT_BROOD_TOF
mean.TOF	JU774	21.9508343382822	EXT_BROOD_TOF
mean.TOF	JU778	-28.7400771732691	EXT_BROOD_TOF
mean.TOF	JU782	3.47371635292617	EXT_BROOD_TOF
mean.TOF	JU792	-25.7884403935253	EXT_BROOD_TOF
mean.TOF	JU830	-0.475929086966492	EXT_BROOD_TOF
mean.TOF	JU847	-5.46612536367467	EXT_BROOD_TOF
mean.TOF	KR314	54.0464218429723	EXT_BROOD_TOF
mean.TOF	LKC34	-29.7156596646986	EXT_BROOD_TOF
mean.TOF	LSJ1	-24.6440517488084	EXT_BROOD_TOF
mean.TOF	MY1	-34.6230796872192	EXT_BROOD_TOF
mean.TOF	MY10	3.71891449342757	EXT_BROOD_TOF
mean.TOF	MY16	45.4613579285264	EXT_BROOD_TOF
mean.TOF	MY18	21.2128280088222	EXT_BROOD_TOF
mean.TOF	MY23	-1.99211700325783	EXT_BROOD_TOF
mean.TOF	N2	30.9229540044317	EXT_BROOD_TOF
mean.TOF	PB303	21.0386484055817	EXT_BROOD_TOF
mean.TOF	PB306	-4.01406130046626	EXT_BROOD_TOF
mean.TOF	PX179	-71.2737754149764	EXT_BROOD_TOF
mean.TOF	RC301	43.486497209658	EXT_BROOD_TOF
mean.TOF	WN2002	-22.6760889757643	EXT_BROOD_TOF
norm.n	AB1	22.5461971908028	EXT_BROOD_TOF
norm.n	CB4852	10.494224912407	EXT_BROOD_TOF
norm.n	CB4854	-9.3425421135434	EXT_BROOD_TOF
norm.n	CB4856	53.5465719986982	EXT_BROOD_TOF
norm.n	CB4857	-85.5643138890601	EXT_BROOD_TOF
norm.n	CB4858	33.4420744147931	EXT_BROOD_TOF
norm.n	CB4932	-5.34291692143886	EXT_BROOD_TOF
norm.n	CX11262	-65.9978758278121	EXT_BROOD_TOF
norm.n	CX11264	37.4041561384878	EXT_BROOD_TOF
norm.n	CX11271	-4.70083889625753	EXT_BROOD_TOF
norm.n	CX11276	59.2454626773347	EXT_BROOD_TOF
norm.n	CX11285	8.68706512221939	EXT_BROOD_TOF
norm.n	CX11292	-4.04315894019184	EXT_BROOD_TOF
norm.n	CX11307	69.6976610830866	EXT_BROOD_TOF
norm.n	CX11314	-10.2184005366977	EXT_BROOD_TOF
norm.n	CX11315	-29.5486380124431	EXT_BROOD_TOF
norm.n	DL200	2.36079576279749	EXT_BROOD_TOF
norm.n	DL226	27.9177496626043	EXT_BROOD_TOF
norm.n	DL238	-37.5693324833375	EXT_BROOD_TOF
norm.n	ED3005	-32.210360030565	EXT_BROOD_TOF
norm.n	ED3011	-2.86252394151317	EXT_BROOD_TOF
norm.n	ED3012	-5.67413092940538	EXT_BROOD_TOF
norm.n	ED3040	-3.4085196968175002	EXT_BROOD_TOF
norm.n	ED3046	-6.91988962208179	EXT_BROOD_TOF
norm.n	ED3048	27.8814532608256	EXT_BROOD_TOF
norm.n	ED3049	-11.8176156370289	EXT_BROOD_TOF
norm.n	ED3052	-6.18724537214101	EXT_BROOD_TOF
norm.n	ED3073	1.8678227638427	EXT_BROOD_TOF
norm.n	ED3077	36.3853844042828	EXT_BROOD_TOF
norm.n	EG4347	31.760904992408	EXT_BROOD_TOF
