plate	condition	control	strain	row	col	trait	value
3	albendazole625	DMSO	CB4856	D	9	median.TOF	178
3	DMSO	NA	Ju775	E	1	median.TOF	240
3	albendazole125	DMSO	DL238	E	10	median.TOF	192
3	albendazole25	DMSO	DL238	E	11	median.TOF	143
3	albendazole3125	DMSO	Ju775	E	2	median.TOF	253
3	albendazole625	DMSO	Ju775	E	3	median.TOF	239
3	albendazole25	DMSO	Ju775	E	5	median.TOF	145
3	albendazole3125	DMSO	DL238	E	8	median.TOF	224.5
3	albendazole625	DMSO	DL238	E	9	median.TOF	206
3	DMSO	NA	CB4856	F	1	median.TOF	229.5
3	albendazole125	DMSO	N2	F	10	median.TOF	168
3	albendazole25	DMSO	N2	F	11	median.TOF	136.5
3	albendazole3125	DMSO	CB4856	F	2	median.TOF	213
3	albendazole625	DMSO	CB4856	F	3	median.TOF	189
3	albendazole125	DMSO	CB4856	F	4	median.TOF	155
3	albendazole25	DMSO	CB4856	F	5	median.TOF	133
3	DMSO	NA	N2	F	7	median.TOF	281
3	albendazole3125	DMSO	N2	F	8	median.TOF	181.5
3	albendazole625	DMSO	N2	F	9	median.TOF	182
3	DMSO	NA	CB4856	G	1	median.TOF	235
3	albendazole125	DMSO	Ju775	G	10	median.TOF	202
3	albendazole25	DMSO	Ju775	G	11	median.TOF	196
3	albendazole3125	DMSO	CB4856	G	2	median.TOF	201.5
3	albendazole125	DMSO	CB4856	G	4	median.TOF	166
3	albendazole25	DMSO	CB4856	G	5	median.TOF	137
3	albendazole625	DMSO	Ju775	G	9	median.TOF	234
3	DMSO	NA	N2	H	1	median.TOF	217
3	albendazole625	DMSO	N2	H	3	median.TOF	198
3	albendazole25	DMSO	N2	H	5	median.TOF	109.5
3	DMSO	NA	DL238	H	7	median.TOF	195.5
3	DMSO	NA	N2	A	1	q75.TOF	350
3	albendazole125	DMSO	CB4856	A	10	q75.TOF	231
3	albendazole25	DMSO	CB4856	A	11	q75.TOF	184.25
3	albendazole3125	DMSO	N2	A	2	q75.TOF	276
3	albendazole625	DMSO	N2	A	3	q75.TOF	259
3	albendazole125	DMSO	N2	A	4	q75.TOF	234
3	albendazole25	DMSO	N2	A	5	q75.TOF	182.5
