date,experiment,round,assay,plate,condition,control,strain,row,col,trait,phenotype,.fitted,.se.fit,.hat,.sigma,.cooksd,.std.resid
20161017,top,2,dact,10,Dactinomycin,DMSO,N2,A,7,cv.TOF,-0.0282642969652508,0.639773038219199,0.0091117556560115,0.00369459914462921,0.150195782587315,0.00013231891357758,-0.188896339813095
20161017,top,2,dact,10,Dactinomycin,DMSO,N2,A,8,cv.TOF,0.0555430487252692,0.639773038219199,0.0091117556560115,0.00369459914462921,0.150165101455665,0.000510981268302165,0.371206070300028
20161017,top,2,dact,10,Dactinomycin,DMSO,N2,A,9,cv.TOF,0.157159260301625,0.639773038219199,0.0091117556560115,0.00369459914462921,0.149874722947415,0.00409096254750879,1.05032893884495
20161017,top,2,dact,10,Dactinomycin,DMSO,CB4856,B,1,cv.TOF,0.0234989621794915,0.636969885060672,0.00907183267532766,0.00366229444223396,0.150199092848034,9.06568626648782e-05,0.157046042513893
20161017,top,2,dact,10,Dactinomycin,DMSO,CB4856,B,10,cv.TOF,-0.107397716509558,0.636969885060672,0.00907183267532766,0.00366229444223396,0.150051660045334,0.00189362254648436,-0.717750265906428
20161017,top,2,dact,10,Dactinomycin,DMSO,CB4856,B,11,cv.TOF,-0.0243109285179895,0.636969885060672,0.00907183267532766,0.00366229444223396,0.150198571949289,9.70300854025376e-05,-0.162472499186388
20161017,top,2,dact,10,Dactinomycin,DMSO,CB4856,B,2,cv.TOF,-0.148416946864394,0.636969885060672,0.00907183267532766,0.00366229444223396,0.149910653155062,0.00361634876382436,-0.991886108374181
20161017,top,2,dact,10,Dactinomycin,DMSO,CB4856,B,4,cv.TOF,-0.0608503109915822,0.636969885060672,0.00907183267532766,0.00366229444223396,0.150156811819179,0.000607895495401669,-0.406669045806108
20161017,top,2,dact,10,Dactinomycin,DMSO,CB4856,B,5,cv.TOF,-0.0138217070248357,0.636969885060672,0.00907183267532766,0.00366229444223396,0.150203938937079,3.13636563823645e-05,-0.0923719257240784
20161017,top,2,dact,10,Dactinomycin,DMSO,CB4856,B,6,cv.TOF,-0.135573126085959,0.636969885060672,0.00907183267532766,0.00366229444223396,0.149959682712913,0.00301752266921404,-0.906049499565501
20161017,top,2,dact,10,Dactinomycin,DMSO,CB4856,B,7,cv.TOF,0.119026692289088,0.636969885060672,0.00907183267532766,0.00366229444223396,0.150016289709425,0.00232590541966451,0.79546793746636
20161017,top,2,dact,10,Dactinomycin,DMSO,CB4856,B,8,cv.TOF,-0.16149272903499,0.636969885060672,0.00907183267532766,0.00366229444223396,0.149856163589725,0.004281631316176,-1.07927293962999
20161017,top,2,dact,10,Dactinomycin,DMSO,CB4856,B,9,cv.TOF,-0.0186867189951305,0.636969885060672,0.00907183267532766,0.00366229444223396,0.150201816837824,5.73283484633109e-05,-0.124885313799758
20161017,top,2,dact,10,Dactinomycin,DMSO,ECA402,D,1,cv.TOF,0.00724184584789636,0.573511399651416,0.00816804620917838,0.00296892732838771,0.150205799064557,6.97017894609716e-06,0.0483811878596843
20161017,top,2,dact,10,Dactinomycin,DMSO,ECA402,D,10,cv.TOF,-0.0387304796021453,0.573511399651416,0.00816804620917838,0.00296892732838771,0.150186387809456,0.000199366013865689,-0.258749861414321
20161017,top,2,dact,10,Dactinomycin,DMSO,ECA402,D,11,cv.TOF,0.144241316102432,0.573511399651416,0.00816804620917838,0.00296892732838771,0.14992727588052,0.00276518841406602,0.963644678173729
20161017,top,2,dact,10,Dactinomycin,DMSO,ECA402,D,2,cv.TOF,0.0097558020687292,0.573511399651416,0.00816804620917838,0.00296892732838771,0.150205226106763,1.26494410906607e-05,0.0651763794097041
20161017,top,2,dact,10,Dactinomycin,DMSO,ECA402,D,3,cv.TOF,0.0390302568473911,0.573511399651416,0.00816804620917838,0.00296892732838771,0.150186075208089,0.000202464177880012,0.260752607609548
20161017,top,2,dact,10,Dactinomycin,DMSO,ECA402,D,4,cv.TOF,0.0883812801070023,0.573511399651416,0.00816804620917838,0.00296892732838771,0.15010173023967,0.00103816396648342,0.590455997814198
20161017,top,2,dact,10,Dactinomycin,DMSO,ECA402,D,5,cv.TOF,-0.00338502370753055,0.573511399651416,0.00816804620917838,0.00296892732838771,0.150206348617364,1.52289094770983e-06,-0.0226146028710475
20161017,top,2,dact,10,Dactinomycin,DMSO,ECA402,D,6,cv.TOF,0.242542856431517,0.573511399651416,0.00816804620917838,0.00296892732838771,0.149415650622699,0.00781848039911845,1.62037576434278
20161017,top,2,dact,10,Dactinomycin,DMSO,ECA402,D,7,cv.TOF,-0.0527071810613236,0.573511399651416,0.00816804620917838,0.00296892732838771,0.150169248790136,0.000369219776213703,-0.352125146273727
20161017,top,2,dact,10,Dactinomycin,DMSO,ECA402,D,8,cv.TOF,-0.0784144273284713,0.573511399651416,0.00816804620917838,0.00296892732838771,0.150124034453131,0.000817216875080046,-0.523869634782458
20161017,top,2,dact,10,Dactinomycin,DMSO,ECA402,D,9,cv.TOF,0.0502894495427744,0.573511399651416,0.00816804620917838,0.00296892732838771,0.150172588488287,0.00033612370323261,0.33597281090923
20161017,top,2,dact,10,Dactinomycin,DMSO,ECA549,F,1,cv.TOF,-0.0884144566498735,0.788660421345084,0.0112322349107831,0.00561429916308875,0.150101372506005,0.00197512947236175,-0.591462813298252
20161017,top,2,dact,10,Dactinomycin,DMSO,ECA549,F,10,cv.TOF,-0.0428256494279322,0.788660421345084,0.0112322349107831,0.00561429916308875,0.150181843529692,0.000463400950117574,-0.286489111076901
20161017,top,2,dact,10,Dactinomycin,DMSO,ECA549,F,11,cv.TOF,0.0210735437779874,0.788660421345084,0.0112322349107831,0.00561429916308875,0.150200531752957,0.000112208085467431,0.140974880821259
20161017,top,2,dact,10,Dactinomycin,DMSO,ECA549,F,2,cv.TOF,-0.0727660306681382,0.788660421345084,0.0112322349107831,0.00561429916308875,0.150135301045651,0.00133784677199698,-0.486780135763979
20161017,top,2,dact,10,Dactinomycin,DMSO,ECA549,F,3,cv.TOF,-0.188018222448522,0.788660421345084,0.0112322349107831,0.00561429916308875,0.149730492742718,0.00893200360746704,-1.25777832058756
20161017,top,2,dact,10,Dactinomycin,DMSO,ECA549,F,4,cv.TOF,-0.091828526882922,0.788660421345084,0.0112322349107831,0.00561429916308875,0.150093093581565,0.00213061136675495,-0.614301788521876
20161017,top,2,dact,10,Dactinomycin,DMSO,ECA549,F,5,cv.TOF,-0.114278295002764,0.788660421345084,0.0112322349107831,0.00561429916308875,0.150030827806803,0.00329971559464396,-0.764483144752315
20161017,top,2,dact,10,Dactinomycin,DMSO,ECA549,F,6,cv.TOF,-0.264956167045808,0.788660421345084,0.0112322349107831,0.00561429916308875,0.149259728980078,0.0177376903799731,-1.77246714960001
20161017,top,2,dact,10,Dactinomycin,DMSO,ECA549,F,7,cv.TOF,-0.209093045040934,0.788660421345084,0.0112322349107831,0.00561429916308875,0.149617579350741,0.0110465885823379,-1.39876175624482
20161017,top,2,dact,10,Dactinomycin,DMSO,ECA549,F,8,cv.TOF,-0.213911793495263,0.788660421345084,0.0112322349107831,0.00561429916308875,0.149590065416946,0.0115616139205725,-1.43099755370791
20161017,top,2,dact,10,Dactinomycin,DMSO,ECA549,F,9,cv.TOF,-0.0939367808445658,0.788660421345084,0.0112322349107831,0.00561429916308875,0.150087824314175,0.00222956609290351,-0.628405294515687
