strain,condition,dose_µM,trait,phenotype,Broad_sense_heritability
JU258,Etoposide,500,q75.TOF,-203.640625,0.335380329410988
JU258,Etoposide,1000,q75.TOF,-250.640625,0.891618087642147
JU258,Etoposide,2000,q75.TOF,-308.140625,0.150469799098114
DL238,Etoposide,0,q75.TOF,-7.71875,1.04248603569343e-33
DL238,Etoposide,250,q75.TOF,-58.21875,0.615354748540869
DL238,Etoposide,500,q75.TOF,-119.21875,0.335380329410988
DL238,Etoposide,1000,q75.TOF,-199.21875,0.891618087642147
DL238,Etoposide,2000,q75.TOF,-217.46875,0.150469799098114
N2,Etoposide,0,q75.TOF,27.8833333333333,1.04248603569343e-33
N2,Etoposide,250,q75.TOF,-12.6166666666667,0.615354748540869
N2,Etoposide,500,q75.TOF,-231.116666666667,0.335380329410988
N2,Etoposide,1000,q75.TOF,-251.616666666667,0.891618087642147
N2,Etoposide,2000,q75.TOF,-244.866666666667,0.150469799098114
CB4856,Etoposide,0,q75.TOF,86.6875,1.04248603569343e-33
CB4856,Etoposide,250,q75.TOF,-155.8125,0.615354748540869
CB4856,Etoposide,500,q75.TOF,-228.3125,0.335380329410988
CB4856,Etoposide,1000,q75.TOF,-277.3125,0.891618087642147
CB4856,Etoposide,2000,q75.TOF,-259.3125,0.150469799098114
N2,XK469,0,q75.TOF,-81.3541666666667,2.47066616794178e-32
N2,XK469,250,q75.TOF,-82.3541666666667,0.166602813220112
N2,XK469,500,q75.TOF,-82.8541666666667,0.467529251418624
N2,XK469,1000,q75.TOF,-235.354166666667,0.899821825876178
JU258,XK469,0,q75.TOF,-27.4772727272727,2.47066616794178e-32
JU258,XK469,250,q75.TOF,-72.7272727272727,0.166602813220112
JU258,XK469,500,q75.TOF,-110.227272727273,0.467529251418624
JU258,XK469,1000,q75.TOF,-90.2272727272727,0.899821825876178
CB4856,XK469,0,q75.TOF,-60.3125,2.47066616794178e-32
CB4856,XK469,250,q75.TOF,-81.0625,0.166602813220112
CB4856,XK469,500,q75.TOF,-232.0625,0.467529251418624
CB4856,XK469,1000,q75.TOF,-328.5625,0.899821825876178
DL238,XK469,0,q75.TOF,-81.7291666666667,2.47066616794178e-32
DL238,XK469,250,q75.TOF,-62.7291666666667,0.166602813220112
DL238,XK469,500,q75.TOF,-82.7291666666667,0.467529251418624
DL238,XK469,1000,q75.TOF,-187.729166666667,0.899821825876178
CB4856,XK469,0,q75.TOF,-13.0625,2.47066616794178e-32
CB4856,XK469,250,q75.TOF,-3.0625,0.166602813220112
CB4856,XK469,500,q75.TOF,-164.0625,0.467529251418624
CB4856,XK469,1000,q75.TOF,-332.0625,0.899821825876178
N2,XK469,0,q75.TOF,-54.8541666666667,2.47066616794178e-32
N2,XK469,250,q75.TOF,-90.3541666666667,0.166602813220112
N2,XK469,500,q75.TOF,-146.854166666667,0.467529251418624
N2,XK469,1000,q75.TOF,-177.104166666667,0.899821825876178
DL238,XK469,0,q75.TOF,-44.2291666666667,2.47066616794178e-32
DL238,XK469,250,q75.TOF,-79.7291666666667,0.166602813220112
DL238,XK469,500,q75.TOF,-94.9791666666667,0.467529251418624
DL238,XK469,1000,q75.TOF,-218.729166666667,0.899821825876178
JU258,XK469,0,q75.TOF,-22.4772727272727,2.47066616794178e-32
JU258,XK469,250,q75.TOF,-83.2272727272727,0.166602813220112
JU258,XK469,500,q75.TOF,-41.2272727272727,0.467529251418624
JU258,XK469,1000,q75.TOF,-153.977272727273,0.899821825876178
DL238,XK469,0,q75.TOF,32.0208333333333,2.47066616794178e-32
DL238,XK469,250,q75.TOF,-94.2291666666667,0.166602813220112
DL238,XK469,500,q75.TOF,-124.479166666667,0.467529251418624
DL238,XK469,1000,q75.TOF,-215.229166666667,0.899821825876178
CB4856,XK469,0,q75.TOF,-32.3125,2.47066616794178e-32
CB4856,XK469,250,q75.TOF,-66.0625,0.166602813220112
CB4856,XK469,500,q75.TOF,-241.0625,0.467529251418624
CB4856,XK469,1000,q75.TOF,-319.5625,0.899821825876178
JU258,XK469,0,q75.TOF,-57.7272727272727,2.47066616794178e-32
JU258,XK469,250,q75.TOF,-19.2272727272727,0.166602813220112
JU258,XK469,500,q75.TOF,-72.2272727272727,0.467529251418624
JU258,XK469,1000,q75.TOF,-167.977272727273,0.899821825876178
N2,XK469,0,q75.TOF,-109.854166666667,2.47066616794178e-32
N2,XK469,250,q75.TOF,-88.3541666666667,0.166602813220112
N2,XK469,500,q75.TOF,-133.854166666667,0.467529251418624
N2,XK469,1000,q75.TOF,-206.354166666667,0.899821825876178
